"436";84.38;15.79
"437";83.25;15.58
"438";83.62;15.65
"439";82.5;15.44
"440";82.25;15.39
"441";82.75;15.49
"442";81;15.16
"443";80.75;15.11
"444";80.12;15
"445";78.5;14.69
"446";78.88;14.76
"447";79.75;14.92
"448";78.38;14.67
"449";79.38;14.85
"450";78.5;14.69
"451";78.5;14.69
"452";78.75;14.74
"453";78;14.6
"454";72.88;13.64
"455";70.75;13.24
"456";68.5;12.82
"457";68.38;12.8
"458";68.5;12.82
"459";68.5;12.82
"460";69.12;12.94
"461";67.5;12.63
"462";65.75;12.3
"463";67.12;12.56
"464";66;12.35
"465";66.88;12.52
"466";68.88;12.89
"467";69.12;12.94
"468";68.25;12.77
"469";65.88;12.55
"470";66.25;12.62
"471";67.5;12.86
"472";65.88;12.55
"473";65;12.38
"474";64.12;12.22
"475";64.88;12.36
"476";64.88;12.36
"477";64.25;12.24
"478";63.12;12.03
"479";61.25;11.67
"480";62.25;11.86
"481";63.25;12.05
"482";64.88;12.36
"483";65.38;12.46
"484";66;12.57
"485";68.25;13
"486";67.75;12.91
"487";67.88;12.93
"488";67.25;12.81
"489";67;12.77
"490";65.88;12.55
"491";65.38;12.46
"492";62.62;11.93
"493";61.75;11.76
"494";62.38;11.88
"495";62.88;11.98
"496";56.12;10.69
"497";51.88;9.88
"498";53;10.1
"499";51.38;9.79
"500";48.88;9.31
"501";51.75;9.86
"502";51.25;9.76
"503";52.75;10.05
"504";51.75;9.86
"505";49.75;9.48
"506";50.12;9.55
"507";50.38;9.6
"508";50.12;9.55
"509";48.88;9.31
"510";48;9.15
"511";47;8.95
"512";46.5;8.86
"513";47.75;9.1
"514";48.75;9.29
"515";47.75;9.1
"516";48.75;9.29
"517";48.25;9.19
"518";49.5;9.43
"519";48.38;9.22
"520";46.88;8.93
"521";46.38;8.84
"522";48.62;9.26
"523";48.88;9.31
"524";49;9.34
"525";49.62;9.45
"526";50.25;9.57
"527";51.5;9.81
"528";52.62;10.03
"529";52.12;9.93
"530";51.12;9.74
"531";51.38;9.89
"532";52;10.01
"533";52.88;10.18
"534";53.38;10.28
"535";52.25;10.06
"536";51.12;9.84
"537";50.75;9.77
"538";50;9.63
"539";50.5;9.72
"540";50.5;9.72
"541";50.5;9.72
"542";51.25;9.87
"543";51.12;9.84
"544";51.88;9.99
"545";53.75;10.35
"546";54.38;10.47
"547";54.75;10.54
"548";54.25;10.45
"549";55.25;10.64
"550";54.88;10.57
"551";55.25;10.64
"552";56.12;10.81
"553";56.62;10.9
"554";55.88;10.76
"555";54.88;10.57
"556";55.62;10.71
"557";55;10.59
"558";55.12;10.61
"559";54.5;10.49
"560";54.62;10.52
"561";53.75;10.35
"562";53.62;10.33
"563";54.25;10.45
"564";51.12;9.84
"565";50.5;9.72
"566";51.38;9.89
"567";51.75;9.96
"568";50;9.63
"569";50.88;9.8
"570";51.88;9.99
"571";52.62;10.13
"572";52.62;10.13
"573";52;10.01
"574";52.25;10.06
"575";50.25;9.68
"576";51;9.82
"577";49.38;9.51
"578";49;9.44
"579";48.75;9.39
"580";49;9.44
"581";49.25;9.48
"582";50.62;9.75
"583";49.12;9.46
"584";48.5;9.34
"585";47.75;9.19
"586";48.38;9.32
"587";48.38;9.32
"588";49.88;9.6
"589";48.88;9.41
"590";48.62;9.36
"591";49.25;9.48
"592";49.25;9.48
"593";49.38;9.51
"594";48.25;9.39
"595";48.62;9.47
"596";48.88;9.52
"597";48.88;9.52
"598";48;9.35
"599";47.5;9.25
"600";47.88;9.32
"601";47.62;9.27
"602";49;9.54
"603";49.62;9.66
"604";49.25;9.59
"605";48.38;9.42
"606";49.75;9.69
"607";50.38;9.81
"608";52.75;10.27
"609";53.25;10.37
"610";52.75;10.27
"611";52;10.12
"612";53.88;10.49
"613";53.88;10.49
"614";54;10.51
"615";52.25;10.17
"616";52.25;10.17
"617";52.88;10.29
"618";52.5;10.22
"619";52.5;10.22
"620";52;10.12
"621";49.88;9.71
"622";50.38;9.81
"623";49.62;9.66
"624";49.38;9.61
"625";49.25;9.59
"626";49.25;9.59
"627";48.62;9.47
"628";48.75;9.49
"629";49.75;9.69
"630";50.38;9.81
"631";49.38;9.61
"632";49.38;9.61
"633";49.25;9.59
"634";48.25;9.39
"635";46.88;9.13
"636";46.62;9.08
"637";46.62;9.08
"638";46.62;9.08
"639";48.12;9.37
"640";47.62;9.27
"641";47.38;9.22
"642";47.5;9.25
"643";45.62;8.88
"644";43.62;8.49
"645";42.88;8.35
"646";43.62;8.49
"647";43.38;8.44
"648";42.25;8.23
"649";42.38;8.25
