90.75;91.12;90.88;-1
90.62;90.75;91.12;-1
90.62;90.62;90.75;-1
89.75;90.62;90.62;-1
89;89.75;90.62;1
90.38;89;89.75;1
91;90.38;89;-1
90.62;91;90.38;-1
90.12;90.62;91;1
92;90.12;90.62;1
93;92;90.12;1
94.12;93;92;-1
93.12;94.12;93;-1
92.62;93.12;94.12;1
94.5;92.62;93.12;1
95;94.5;92.62;1
95.25;95;94.5;1
95.88;95.25;95;1
97.62;95.88;95.25;-1
97.12;97.62;95.88;1
97.25;97.12;97.62;1
98.62;97.25;97.12;-1
97.88;98.62;97.25;1
98.25;97.88;98.62;-1
96.88;98.25;97.88;1
98.12;96.88;98.25;-1
96.75;98.12;96.88;1
97.88;96.75;98.12;-1
97.5;97.88;96.75;1
97.62;97.5;97.88;1
97.88;97.62;97.5;-1
97.88;97.88;97.62;1
99.25;97.88;97.88;1
100.25;99.25;97.88;-1
95;100.25;99.25;-1
92.88;95;100.25;1
93.75;92.88;95;-1
92.5;93.75;92.88;1
92.75;92.5;93.75;-1
92.75;92.75;92.5;-1
92.38;92.75;92.75;1
93.75;92.38;92.75;1
94.38;93.75;92.38;1
95.38;94.38;93.75;-1
94.75;95.38;94.38;1
94.88;94.75;95.38;-1
94.25;94.88;94.75;-1
91.62;94.25;94.88;-1
88.25;91.62;94.25;-1
87.12;88.25;91.62;1
88.5;87.12;88.25;-1
88;88.5;87.12;1
88.38;88;88.5;-1
88.12;88.38;88;1
88.38;88.12;88.38;1
88.62;88.38;88.12;-1
88;88.62;88.38;-1
86.62;88;88.62;-1
85.88;86.62;88;1
86;85.88;86.62;-1
85.12;86;85.88;1
87.12;85.12;86;-1
86.38;87.12;85.12;1
87.38;86.38;87.12;-1
87.25;87.38;86.38;-1
86.62;87.25;87.38;1
87.62;86.62;87.25;-1
87.5;87.62;86.62;-1
86.62;87.5;87.62;-1
86;86.62;87.5;1
86.12;86;86.62;1
86.88;86.12;86;1
87.5;86.88;86.12;1
88;87.5;86.88;1
88.38;88;87.5;-1
85.5;88.38;88;-1
83.12;85.5;88.38;1
83.75;83.12;85.5;-1
83.5;83.75;83.12;1
84.38;83.5;83.75;-1
83.25;84.38;83.5;1
83.62;83.25;84.38;-1
82.5;83.62;83.25;-1
82.25;82.5;83.62;1
82.75;82.25;82.5;-1
81;82.75;82.25;-1
80.75;81;82.75;-1
80.12;80.75;81;-1
78.5;80.12;80.75;1
78.88;78.5;80.12;1
79.75;78.88;78.5;-1
78.38;79.75;78.88;1
79.38;78.38;79.75;-1
78.5;79.38;78.38;-1
78.5;78.5;79.38;1
78.75;78.5;78.5;-1
78;78.75;78.5;-1
72.88;78;78.75;-1
70.75;72.88;78;-1
68.5;70.75;72.88;-1
68.38;68.5;70.75;1
68.5;68.38;68.5;-1
68.5;68.5;68.38;1
69.12;68.5;68.5;-1
67.5;69.12;68.5;-1
65.75;67.5;69.12;1
67.12;65.75;67.5;-1
66;67.12;65.75;1
66.88;66;67.12;1
68.88;66.88;66;1
69.12;68.88;66.88;-1
68.25;69.12;68.88;-1
65.88;68.25;69.12;1
66.25;65.88;68.25;1
67.5;66.25;65.88;-1
65.88;67.5;66.25;-1
65;65.88;67.5;-1
64.12;65;65.88;1
64.88;64.12;65;-1
64.88;64.88;64.12;-1
64.25;64.88;64.88;-1
63.12;64.25;64.88;-1
61.25;63.12;64.25;1
62.25;61.25;63.12;1
63.25;62.25;61.25;1
64.88;63.25;62.25;1
65.38;64.88;63.25;1
66;65.38;64.88;1
68.25;66;65.38;-1
67.75;68.25;66;1
67.88;67.75;68.25;-1
67.25;67.88;67.75;-1
67;67.25;67.88;-1
65.88;67;67.25;-1
65.38;65.88;67;-1
62.62;65.38;65.88;-1
61.75;62.62;65.38;1
62.38;61.75;62.62;1
62.88;62.38;61.75;-1
56.12;62.88;62.38;-1
51.88;56.12;62.88;1
53;51.88;56.12;-1
51.38;53;51.88;-1
48.88;51.38;53;1
51.75;48.88;51.38;-1
51.25;51.75;48.88;1
52.75;51.25;51.75;-1
51.75;52.75;51.25;-1
49.75;51.75;52.75;1
50.12;49.75;51.75;1
50.38;50.12;49.75;-1
50.12;50.38;50.12;-1
48.88;50.12;50.38;-1
