96.62;97;98.38;98.88;96.62
96.62;96.62;97;100.25;96.62
99.88;96.62;96.62;98.25;99.88
100.25;99.88;96.62;98.38;100.25
100.12;100.25;99.88;97;100.12
99.38;100.12;100.25;96.62;99.38
98.88;99.38;100.12;96.62;98.88
100;98.88;99.38;99.88;100
96.25;100;98.88;100.25;96.25
97.25;96.25;100;100.12;97.25
96.5;97.25;96.25;99.38;96.5
95.5;96.5;97.25;98.88;95.5
95.38;95.5;96.5;100;95.38
94.75;95.38;95.5;96.25;94.75
95.12;94.75;95.38;97.25;95.12
97.88;95.12;94.75;96.5;97.88
94.25;97.88;95.12;95.5;94.25
92.5;94.25;97.88;95.38;92.5
92.25;92.5;94.25;94.75;92.25
91.25;92.25;92.5;95.12;91.25
90;91.25;92.25;97.88;90
90.25;90;91.25;94.25;90.25
89;90.25;90;92.5;89
85.12;89;90.25;92.25;85.12
86.25;85.12;89;91.25;86.25
87.75;86.25;85.12;90;87.75
88.62;87.75;86.25;90.25;88.62
88;88.62;87.75;89;88
86.88;88;88.62;85.12;86.88
85.5;86.88;88;86.25;85.5
86.25;85.5;86.88;87.75;86.25
84.88;86.25;85.5;88.62;84.88
85.75;84.88;86.25;88;85.75
88.25;85.75;84.88;86.88;88.25
88.25;88.25;85.75;85.5;88.25
88.25;88.25;88.25;86.25;88.25
89.38;88.25;88.25;84.88;89.38
90.38;89.38;88.25;85.75;90.38
89;90.38;89.38;88.25;89
90.25;89;90.38;88.25;90.25
90.38;90.25;89;88.25;90.38
92.25;90.38;90.25;89.38;92.25
94.62;92.25;90.38;90.38;94.62
92.38;94.62;92.25;89;92.38
91.25;92.38;94.62;90.25;91.25
90.88;91.25;92.38;90.38;90.88
90.25;90.88;91.25;92.25;90.25
92.38;90.25;90.88;94.62;92.38
95.38;92.38;90.25;92.38;95.38
95.5;95.38;92.38;91.25;95.5
96.38;95.5;95.38;90.88;96.38
95.25;96.38;95.5;90.25;95.25
92.88;95.25;96.38;92.38;92.88
95.62;92.88;95.25;95.38;95.62
93.5;95.62;92.88;95.5;93.5
93.12;93.5;95.62;96.38;93.12
93.75;93.12;93.5;95.25;93.75
93.25;93.75;93.12;92.88;93.25
91.88;93.25;93.75;95.62;91.88
91.75;91.88;93.25;93.5;91.75
90;91.75;91.88;93.12;90
91.38;90;91.75;93.75;91.38
92.25;91.38;90;93.25;92.25
91.25;92.25;91.38;91.88;91.25
89.88;91.25;92.25;91.75;89.88
89.25;89.88;91.25;90;89.25
89.75;89.25;89.88;91.38;89.75
90.25;89.75;89.25;92.25;90.25
92.12;90.25;89.75;91.25;92.12
90.75;92.12;90.25;89.88;90.75
89.75;90.75;92.12;89.25;89.75
89.62;89.75;90.75;89.75;89.62
89.62;89.62;89.75;90.25;89.62
89.75;89.62;89.62;92.12;89.75
89.88;89.75;89.62;90.75;89.88
89.38;89.88;89.75;89.75;89.38
88.25;89.38;89.88;89.62;88.25
88.25;88.25;89.38;89.62;88.25
87.75;88.25;88.25;89.75;87.75
86.88;87.75;88.25;89.88;86.88
87.5;86.88;87.75;89.38;87.5
88.25;87.5;86.88;88.25;88.25
87.38;88.25;87.5;88.25;87.38
86.62;87.38;88.25;87.75;86.62
86.38;86.62;87.38;86.88;86.38
87.38;86.38;86.62;87.5;87.38
87.88;87.38;86.38;88.25;87.88
87.75;87.88;87.38;87.38;87.75
89.12;87.75;87.88;86.62;89.12
89.62;89.12;87.75;86.38;89.62
88.75;89.62;89.12;87.38;88.75
87.62;88.75;89.62;87.88;87.62
87.5;87.62;88.75;87.75;87.5
85.88;87.5;87.62;89.12;85.88
86.12;85.88;87.5;89.62;86.12
85.62;86.12;85.88;88.75;85.62
85.25;85.62;86.12;87.62;85.25
85.12;85.25;85.62;87.5;85.12
84.12;85.12;85.25;85.88;84.12
83.25;84.12;85.12;86.12;83.25
83.38;83.25;84.12;85.62;83.38
83.5;83.38;83.25;85.25;83.5
82.88;83.5;83.38;85.12;82.88
82.25;82.88;83.5;84.12;82.25
81.75;82.25;82.88;83.25;81.75
